BFS_NR,NAME,n_fangt_s_Iis_aa_schmelze,n_fangt_s_Iis_afa_schmelze,n_schmilzt_s_Iis,n_tot,dominant,long,lat
261_1,Zuerich,5,0,2,8,1,682735.8,248230.3
2615_1,Erschwil,0,8,1,9,2,607760.1,247019.5
2619_1,Kleinluetzel,1,4,0,5,2,598509,252835.8
2621_1,Nunningen,0,6,0,6,2,613664.2,249191.1
2702_1,Bettingen,2,3,1,6,2,616959,268845
2761_1,Aesch (BL),0,6,0,6,2,611909.2,257348.3
2770_1,Muttenz,3,3,0,9,2,615584,263523
2774_1,Schoenenbuch,1,3,1,6,2,604738,265165
2787_1,Laufen,1,5,0,7,2,604705.9,252532.1
2790_1,Roggenburg,0,2,1,3,2,592619.8,253704.9
28_1,Flaach,2,0,4,6,3,688037.9,270075.6
2829_1,Liestal,0,7,0,9,2,622322,259363
2831_1,Pratteln,0,15,0,17,2,619074.4,263578.5
2843_1,Buckten,0,7,0,7,2,630652.8,251087
2846_1,Gelterkinden,4,16,4,24,2,631670,257115
2853_1,Maisprach,2,3,0,6,2,630524,263875
2869_1,Zunzgen,1,5,0,6,2,627863,255436
2886_1,Hoelstein,1,7,0,8,2,624940.9,252690.4
2888_1,Langenbruck,1,3,0,5,2,624843.8,244353.4
2901_1,Gaechlingen,11,0,2,12,1,679522,284102
2913_1,Bibern (SH),4,0,1,6,1,692819.3,292170.8
2933_1,Buchberg,5,0,1,6,1,684585.3,269719.5
2936_1,Merishausen,5,0,0,5,1,687732.8,290754.7
2939_1,Schaffhausen,5,0,0,5,1,689634.8,283740.7
2952_1,Schleitheim,10,0,0,11,1,678605.3,289355.3
2963_1,Ramsen,4,0,2,6,1,702901.3,285010.7
2964_1,Stein am Rhein,7,0,0,7,1,706733.5,279705.6
2971_1,Hallau,12,0,2,14,1,676464.7,283385.5
2974_1,Wilchingen,8,0,1,9,1,676991.4,280175.6
30_1,Andelfingen,6,0,0,7,1,693216.8,272190.2
3001_1,Herisau,9,0,1,10,1,738831.1,250457
3006_1,Urnaesch,5,0,2,7,1,739643.6,242472
301_1,Aarberg,5,3,1,9,1,587631.3,210385.8
3021_1,Buehler,6,0,2,9,1,749721.2,248797.8
3022_1,Gais,8,0,1,10,1,752020.7,247518.1
3025_1,Trogen,6,0,3,8,1,752903.1,252760.4
3032_1,Heiden,4,0,1,5,1,757824.9,256855
307_1,Meikirch,1,4,0,5,2,594344.9,206508.3
310_1,Rapperswil (BE),3,6,0,8,2,597866.8,212533.5
3101_1,Appenzell,4,0,4,10,3,748937.689,243829.809
3103_1,Ruete,3,0,2,5,1,750549.3,242991.1
3104_1,Schlatt-Haslen,1,0,3,5,3,747915.1,246925.7
3203_1,St. Gallen,17,0,4,20,1,746281.7,254305.6
3214_1,Moerschwil,8,0,0,8,1,749665.6,259396.5
3235_1,Rheineck,3,0,1,5,1,762223.4,259620.9
3251_1,Altstaetten,3,0,0,5,1,758922.2,249652.4
3254_1,Oberriet (SG),6,0,1,11,1,761206.8,243549.8
3275_1,Sevelen,7,0,2,10,1,755427.6,221013.8
3276_1,Wartau,6,0,2,8,1,755341.8,217748.2
329_1,Langenthal,2,4,1,7,2,626685.4,229070.6
3292_1,Flums,6,0,1,7,1,744944.6,217934.8
3293_1,Mels,4,1,1,6,1,750473.9,212540.9
3293_1,Mels,4,1,1,6,1,744960.6,206038
3294_1,Pfaefers,7,0,2,9,1,755345.4,204001.3
3294_1,Pfaefers,7,0,2,9,1,756858,206289.5
3294_1,Pfaefers,7,0,2,9,1,752463.7,197339.9
3295_1,Quarten,7,1,0,8,1,736807.2,219040.1
3298_1,Walenstadt,5,0,4,9,1,742223.1,220469.1
3311_1,Amden,5,0,1,6,1,729153.3,223418.5
3312_1,Benken (SG),5,0,1,6,1,718706.1,228821.8
3332_1,Eschenbach (SG),4,1,0,7,1,712309.8,233252.5
3352_1,Ebnat-Kappel,6,0,0,6,1,727318.7,236114.99
3356_1,Stein (SG),5,0,1,8,1,735510.8,229129.4
3357_1,Wildhaus,6,0,3,8,1,744857.8,229814.8
3371_1,Brunnadern,3,0,2,5,1,727936.1,243958.9
3373_1,Krinau,3,0,3,6,3,721811.8,241962.9
3377_1,Ricken,4,0,1,6,1,721561.4,236057.3
3377_1,Ricken,4,0,1,6,1,724737.7,240440
3392_1,Kirchberg (SG),4,0,1,5,1,720873.3,252399.4
3394_1,Mosnang,5,0,3,8,1,720947.9,246994.2
3401_1,Degersheim,9,0,0,9,1,733022,248352.7
3402_1,Flawil,6,0,1,7,1,732095.8,253107.2
3425_1,Wil (SG),6,0,1,8,1,720819.2,258088.3
344_1,Ursenbach,2,7,1,10,2,625326.6,220680.6
3441_1,Andwil (SG),4,0,1,7,1,738503.5,255523.8
35_1,Marthalen,7,0,1,8,1,691064.8,275701.6
3503_1,Mutten,5,0,0,5,1,757737.1,171662.6
351_1,Bern,5,11,0,19,2,600419.6,199553.2
3523_1,Wiesen (GR),5,0,0,6,1,774082.3,175134.3
3603_1,Vals,7,0,1,10,1,733412.6,164437.2
3612_1,Obersaxen,3,0,3,5,3,726750.719,178493.259
362_1,Ittigen,1,5,0,6,2,603499.8,202491.2
3681_1,Avers,2,0,0,5,1,759270.2,148941.5
3733_1,Tamins,3,0,1,6,1,750176.1,188442.5
383_1,Bueren an der Aare,1,5,0,6,2,595103.1,220973.5
384_1,Busswil bei Bueren,1,2,2,7,2,591538.4,216674.8
385_1,Diessbach bei Bueren,2,3,1,5,2,594185.4,217481.8
3851_1,Davos,3,0,2,6,1,778375,176042
3851_1,Davos,3,0,2,6,1,783287.7,187016.5
3871_1,Klosters-Serneus,5,0,0,8,1,786007.8,194653.8
3882_1,Kueblis,2,1,0,4,1,778152.1,198598.1
3901_1,Chur,6,0,1,6,1,759617.3,190971.7
3911_1,Churwalden,7,1,0,9,1,760737.4,183237.1
392_1,Pieterlen,2,2,1,6,2,592384,224902.5
3921_1,Arosa,3,0,1,5,1,770905.5,183246.8
394_1,Wengi bei Bueren,1,3,1,5,2,596983.2,214700.1
3945_1,Trimmis,3,0,2,5,1,761946.6,196105.1
3946_1,Untervaz,11,0,2,15,1,759603.3,199544.9
3951_1,Flaesch,4,0,1,6,1,757761.2,210552.5
3952_1,Jenins,5,0,0,6,1,761123.2,207762.3
3954_1,Malans,5,0,0,5,1,762594.2,205611
3962_1,Schiers,7,0,3,10,1,771204.8,204549.3
4001_1,Aarau,7,2,0,10,1,646530.113,249335.892
4004_1,Densbueren,5,0,1,8,1,646366.685,256114.252
4009_1,Muhen,2,4,0,6,2,646609,242919
4024_1,Birmenstorf (AG),7,1,1,10,1,660846.9,257011.5
4035_1,Niederrohrdorf,4,1,3,7,1,665352.4,252955.2
4048_1,Wuerenlos,5,0,0,5,1,669818.4,254890
4068_1,Haegglingen,2,4,3,9,2,661468.4,248995.7
4095_1,Brugg,4,4,0,9,2,658048.9,259184.5
4097_1,Elfingen,5,0,2,8,1,649754.408,262041.689
4104_1,Lupfig,4,5,0,9,2,657755.6,254737.1
4121_1,Villigen,2,1,1,5,1,658444.6,264241
414_1,Krauchthal,0,3,1,5,2,609747.4,206576.8
4145_1,Teufenthal (AG),2,3,0,5,2,651103.6,242332
4163_1,Frick,5,0,2,7,1,643789.084,262081.821
4169_1,Kaisten,4,3,0,7,1,645730,265657
4193_1,Brunegg,2,5,0,7,2,658737.4,252308.8
42_1,Unterstammheim,6,0,1,7,1,701578.8,277389.3
4201_1,Lenzburg,4,3,1,9,4,655230.7,249193
4234_1,Merenschwand,2,7,0,9,2,670864.1,234696.8
424_1,Wynigen,2,3,1,6,2,617393.5,217259.1
4254_1,Moehlin,4,3,2,9,1,630601.652,267464.866
4260_1,Stein (AG),1,3,1,6,2,638298.281,265941.996
4271_1,Aarburg,3,3,0,7,1,634865.8,241115.1
4275_1,Kirchleerau,5,1,0,6,1,647237.1,236355.3
4279_1,Murgenthal,4,1,0,5,1,629756.6,235005.2
4289_1,Zofingen,5,0,0,6,1,638457.047,237404.531
4301_1,Baldingen,4,0,0,4,1,666430.3,267696
4308_1,Kaiserstuhl,3,1,0,5,1,673751.4,268898.6
4319_1,Siglistorf,4,1,0,5,1,670860.4,266465.9
4426_1,Kesswil,5,0,1,6,1,741291.9,273333.3
4431_1,Roggwil (TG),4,0,1,5,1,747458.6,262872.3
4436_1,Romanshorn,5,0,0,5,1,746032.1,270134.2
