id;lon;lat;label;value;x_ch;y_ch
107;10.212424;46.686877;Gaemse;13;812152;174379
108;10.205691;46.684385;Gaemse;5;811647;174084
109;10.207017;46.679879;Gaemse;3;811766;173587
110;10.206091;46.689884;Gaemse;4;811656;174696
111;10.212119;46.688306;Gaemse;2;812123;174537
112;10.20778;46.687107;Gaemse;2;811796;174392
113;10.205499;46.683697;Gaemse;5;811635;174007
114;10.202049;46.681197;Gaemse;2;811381;173720
115;10.20052;46.685825;Gaemse;3;811246;174230
116;10.198836;46.687675;Gaemse;2;811110;174431
117;10.20074;46.688835;Gaemse;14;811251;174565
118;10.198394;46.688748;Gaemse;9;811072;174549
119;10.206115;46.687039;Gaemse;5;811669;174380
120;10.19652;46.691241;Gaemse;2;810919;174821
121;10.206306;46.689231;Gaemse;3;811675;174624
122;10.211195;46.688662;Gaemse;2;812051;174574
123;10.198603;46.68516;Gaemse;1;811102;174151
124;10.203608;46.691465;Gaemse;1;811460;174865
125;10.21168;46.690963;Gaemse;19;812079;174831
126;10.213796;46.691173;Gaemse;11;812240;174860
127;10.219441;46.689784;Gaemse;15;812677;174721
128;10.219857;46.68846;Gaemse;13;812714;174575
129;10.218651;46.690442;Gaemse;3;812614;174792
130;10.213261;46.692968;Gaemse;3;812192;175058
131;10.218093;46.692058;Gaemse;1;812565;174970
132;10.220532;46.691666;Gaemse;1;812753;174933
133;10.217316;46.693976;Gaemse;1;812498;175181
134;10.198029;46.688009;Gaemse;5;811047;174466
135;10.20012;46.689507;Gaemse;2;811201;174638
136;10.203472;46.686518;Gaemse;1;811469;174315
137;10.211513;46.687979;Gaemse;1;812078;174499
138;10.21145;46.685982;Gaemse;1;812081;174277
139;10.20619;46.683149;Gaemse;2;811690;173948
140;10.203837;46.681127;Gaemse;1;811518;173717
141;10.202764;46.679586;Gaemse;2;811442;173543
142;10.201538;46.681939;Gaemse;1;811339;173801
143;10.198672;46.684474;Gaemse;2;811110;174075
144;10.208345;46.689712;Gaemse;1;811829;174683
145;10.196167;46.68791;Gaemse;4;810905;174450
146;10.196997;46.685982;Gaemse;4;810976;174238
147;10.198925;46.685584;Gaemse;1;811125;174199
148;10.207278;46.690584;Gaemse;2;811744;174777
149;10.207485;46.688761;Gaemse;2;811767;174575
150;10.20835;46.686994;Gaemse;4;811840;174381
151;10.209334;46.688077;Gaemse;1;811911;174504
152;10.204257;46.689839;Gaemse;1;811516;174686
153;10.214911;46.68588;Gaemse;3;812346;174275
154;10.202107;46.682834;Gaemse;2;811379;173902
155;10.216026;46.689759;Gaemse;4;812416;174709
156;10.206248;46.679943;Gaemse;2;811707;173592
157;10.211651;46.69091;Gaemse;1;812077;174825
158;10.216149;46.690881;Gaemse;14;812421;174834
159;10.218056;46.686766;Gaemse;1;812583;174382
160;10.213271;46.693679;Gaemse;3;812190;175137
161;10.198503;46.687809;Gaemse;8;811084;174445
162;10.203511;46.680892;Gaemse;1;811494;173690
163;10.205369;46.686769;Gaemse;2;811613;174348
164;10.205799;46.690575;Gaemse;3;811631;174772
165;10.200974;46.683446;Gaemse;1;811290;173967
166;10.219758;46.688561;Gaemse;6;812706;174586
167;10.206908;46.685661;Gaemse;2;811735;174229
168;10.21045;46.686133;Gaemse;1;812004;174291
169;10.218702;46.692448;Gaemse;12;812610;175015
170;10.198972;46.687518;Gaemse;2;811121;174414
171;10.196585;46.688926;Gaemse;1;810933;174564
172;10.200993;46.685345;Gaemse;4;811284;174178
173;10.205299;46.68669;Gaemse;7;811608;174339
174;10.200708;46.686684;Gaemse;4;811257;174326
175;10.203979;46.688234;Gaemse;15;811501;174507
176;10.203938;46.690242;Gaemse;8;811490;174730
177;10.202185;46.686414;Gaemse;7;811371;174300
178;10.204345;46.684922;Gaemse;2;811542;174140
179;10.200526;46.684654;Gaemse;2;811251;174100
180;10.197744;46.688565;Gaemse;4;811023;174527
181;10.204523;46.689922;Gaemse;10;811536;174696
182;10.205224;46.686746;Gaemse;7;811602;174345
183;10.208355;46.688119;Gaemse;5;811836;174506
184;10.197316;46.691465;Gaemse;5;810979;174848
185;10.207257;46.690693;Gaemse;6;811742;174789
186;10.20346;46.688067;Steinbock;3;811462;174487
187;10.203348;46.689951;Steinbock;1;811446;174696
188;10.197414;46.68851;Steinbock;1;810998;174520
189;10.207392;46.694083;Steinbock;9;811739;175166
190;10.204956;46.688408;Steinbock;2;811575;174529
191;10.207096;46.694423;Steinbock;4;811715;175203
192;10.203081;46.687293;Steinbock;1;811436;174400
193;10.200367;46.682327;Rothirsch;5;811248;173841
194;10.199292;46.683802;Rothirsch;3;811160;174002
195;10.201464;46.68663;Rothirsch;13;811315;174322
196;10.197336;46.68853;Rothirsch;4;810992;174522
